Language_name	Language_ID	Glottocode	Language_level_glottocode	Parameter_ID	Form	Comment	Cognacy	Dataset	Source	Pages	Ultimate_source	Language_comment
Iliun	296	iliu1237	iliu1237	hand	'lima		1,64	abvd	110693		Taber (1993)	Taber, M. (1993) Toward a better understanding of the indigenous languages of southwestern Maluku. Oceanic Linguistics, 32:2, 389-441
Dadu'a	1362	dadu1237	iliu1237	hand	lima		1,64	abvd	s_Penn_Dadua		Penn 2006	
Ili'uun, Ilmaumau	ilma1240	ilma1240	iliu1237	hand	lima			lexirumah	hinton00			
Ilokano	288	ilok1237	ilok1237	five	lima		1	abvd	Blust-288-2005		Blust	
Iloko	ilok1237-1	ilok1237	ilok1237	five	limá			barlowpacific	Vanoverbergh1937	pp.113, 119		
Ilocano, Philippines	ilok1237-1	ilok1237	ilok1237	five	li'ma			chan2019	Ilocano.htm		Dr. Carl Rubico. Department of Linguistics, Australian National University, Australia, March 27, 2006 / School of Humanities and Social Science, University of Newcastle Callaghan Campus 2308 NSW, USA, February 23, 2013.	Ilocano has a decimal system.
Ilokano	288	ilok1237	ilok1237	hand	ima		1,65	abvd	Blust-288-2005		Blust	
Ilongot, Kakiduge:n	422	ilon1239	ilon1239	five	tambiang			abvd	136553		M. Rosaldo in Reid (1971)	Reid, L.A. (1971). Philippine Minor Languages: Word Lists and Phonologies. Oceanic Linguistics Special Publication no. 8. University of Hawaii Press.
Egongot	ilon1239-1	ilon1239	ilon1239	five	tambiang	formed of a prefix tam (cf. tampo) before a stem, biang.		barlowpacific	Scheerer1911	pp.48-49		
Ilongot, Luzon, Philippines	ilon1239-1	ilon1239	ilon1239	five	tambiaŋ			chan2019	Ilongot.htm		Mr. & Mrs. Dell & Sue Schulze. New Tribes Missions, October 27, 2009, December 24, 2013.	Ilongot, their real name is 'Bugkalot', is the only language in the Philippines use a quinary system and the higher numbers 60, 70, 80 and 90 are formed by 50 + 10, 20, 30, and 40, respectively.
Ilongot	ilon1239-2	ilon1239	ilon1239	five	tambiáń	tam … is a prefix for units of measure, equivalent to Iloko sańa, Tagalog sań, Bontok Igorot, Kankanay and Kalinga sin, Ifugaw him, Pangasinan and Ibaloy sam.		barlowpacific	Vanoverbergh1937	pp.115, 121, 196-197		
Ilongot, Luzon, Philippines	ilon1239-2	ilon1239	ilon1239	five	tambiaŋ			chan2019	Ilongot.htm		Mr. Jon Paller. New Tribes Missions, January, 1995.	Ilongot is the only language in the Philippines use a quinary system and the higher numbers 60, 70, 80 and 90 are formed by 50 + 10, 20, 30, and 40, respectively.
Kakiduge:n Ilongot	31	ilon1239	ilon1239	hand	ǥima		1,64	abvd	136553		Reid (1971)	Reid, Lawrence A. (ed.) (1971). Philippine Minor Languages: word lists and phonologies. (Oceanic Linguistics special publication, 8). Honolulu: University of Hawai'i Press.
Ilongot, Kakiduge:n	422	ilon1239	ilon1239	hand	gima		1,64	abvd	136553		M. Rosaldo in Reid (1971)	Reid, L.A. (1971). Philippine Minor Languages: Word Lists and Phonologies. Oceanic Linguistics Special Publication no. 8. University of Hawaii Press.
Imroing	imro1237	imro1237	imro1237	five	woˈlim			lexirumah	taber93			The Orthography column gives a preliminary phonemic analysis of the raw phonetic transcription. This analysis was made by Owen Edwards on the basis of recurrent patterns in the list, as well as by comparison with related languages. Likely morpheme breaks are given in the Form column. I only marked morpheme breaks which I was confident existed, there may be additional breaks which are unmarked.
Imroing	imro1237-1	imro1237	imro1237	five	woˈlim			barlowpacific	Taber1993	pp.418-419		
Imroing, Indonesia	imro1237-1	imro1237	imro1237	five	wo'lim			chan2019	Imroing.htm		Mr. Mark Taber and Mr. Bryan Hinton, SIL International, January 21, 1997. Taken from SIL linguistic survey list.	Imroing might have a decimal system. There are missing terms over ten.
Imroing	316	imro1237	imro1237	hand	lim'mute		1,64	abvd	110693		Taber (1993)	Taber, M. (1993) Toward a better understanding of the indigenous languages of southwestern Maluku. Oceanic Linguistics, 32:2, 389-441
Imroing	imro1237	imro1237	imro1237	hand	lim+ˈmu+te	with 2SG possessive suffix -mu		lexirumah	taber93			The Orthography column gives a preliminary phonemic analysis of the raw phonetic transcription. This analysis was made by Owen Edwards on the basis of recurrent patterns in the list, as well as by comparison with related languages. Likely morpheme breaks are given in the Form column. I only marked morpheme breaks which I was confident existed, there may be additional breaks which are unmarked.
Inabaknon	490	inab1237	inab1237	five	lima		1	abvd	Jacobson-490-2007		Fr. Marc R. Jacobson	contains lots of loans from Waray (Samar-Leyte Bisayan
Inabaknon	490	inab1237	inab1237	five	singko	Sp?	4	abvd	Jacobson-490-2007		Fr. Marc R. Jacobson	contains lots of loans from Waray (Samar-Leyte Bisayan
Abaknon Sama, Philippines	inab1237-1	inab1237	inab1237	five	li'maʔ			chan2019	Abaknon.htm		Mr. Marc Jacobson, SIL International, Philippines, June 24, 1993. September 30, 2009.	Abaknon or Inabaknon numbers beyond ten have been replaced by Spanish numbers, but there still two traditional number hundred ʔad'daha'tos and thousand yu'kot.
Inabaknon	490	inab1237	inab1237	hand	kambag	Arm up to the forearm		abvd	Jacobson-490-2007		Fr. Marc R. Jacobson	contains lots of loans from Waray (Samar-Leyte Bisayan
Inabaknon	490	inab1237	inab1237	hand	tamburo'	hand		abvd	Jacobson-490-2007		Fr. Marc R. Jacobson	contains lots of loans from Waray (Samar-Leyte Bisayan
Malay (Bahasa Indonesia)	233	indo1316	indo1316	five	lima		1	abvd	67091		R. Blust, from Echols & Shadily	"Echols, J M. & Shadily, H. (1989). An Indonesian-English Dictionary. Ithaca, NY: Cornell University Press, 3rd edition.

SA: ""Sanskrit"" stands for loanwords from any period between Classical Sanskrit and Middle Indian"
Indonesian	362	indo1316	indo1316	five	lima		1	abvd	Lens-362-2005		Martijn Lens	"S Adelaar: ""Sanskrit"" stands for various older Indian influences (including Middle Indian) cf. Hoogervorst 2013"
Malay	1556	indo1316	indo1316	five	lima			abvd	552133		W.G. Shellabear 1912	Words taken from Malay- English Vocabulary. Containing over 7000 Malay words or Phrases with their English equivalents, together with An Appendix ., Second Ed., Revised and Enlarged . The Methodist Publishing House: Singapore (1912) by Shellabear, W.G. (William Girdlestone), 1862-1949
Indonesian, Indonesian	indo1316-1	indo1316	indo1316	five	lima			chan2019	Indonesian-Bahasa.htm		Dr. Niken A. Adisasmito-Smith, University State University, Fresno, California. USA, July 4, 2006.	Indonesian or Bahasa Indonesian has a decimal system similar to that of Malay. Bahasa Indonesia is Widespread throughout Indonesia and there are Lexical similarity: over 80% with Standard Malay. Note that the traditional spellingsː e = IPA symbol [ə], j = IPA [d͡ʒ], c = IPA [t͡ʃ].
Indonesian, Indonesian	indo1316-1	indo1316	indo1316	five	lima			chan2019	Indonesian-Bahasa.htm		Dr. Niken A. Adisasmito-Smith, University State University, Fresno, California. USA, July 4, 2006.	Indonesian or Bahasa Indonesian has a decimal system similar to that of Malay. Bahasa Indonesia is Widespread throughout Indonesia and there are Lexical similarity: over 80% with Standard Malay. Note that the traditional spellingsː e = IPA symbol [ə], j = IPA [d͡ʒ], c = IPA [t͡ʃ].
Indonesian	indo1316-lexi	indo1316	indo1316	five	lima			lexirumah	klamerwuedwards17			Phonetic transcription of the Indonesian glosses used in the concept list, a mixture of standard Indonesian and terms better-known in NTT.
Malay (Bahasa Indonesia)	233	indo1316	indo1316	hand	tangan		18	abvd	67091		R. Blust, from Echols & Shadily	"Echols, J M. & Shadily, H. (1989). An Indonesian-English Dictionary. Ithaca, NY: Cornell University Press, 3rd edition.

SA: ""Sanskrit"" stands for loanwords from any period between Classical Sanskrit and Middle Indian"
Indonesian	362	indo1316	indo1316	hand	taŋan		18	abvd	Lens-362-2005		Martijn Lens	"S Adelaar: ""Sanskrit"" stands for various older Indian influences (including Middle Indian) cf. Hoogervorst 2013"
Malay	1556	indo1316	indo1316	hand	tangan			abvd	552133		W.G. Shellabear 1912	Words taken from Malay- English Vocabulary. Containing over 7000 Malay words or Phrases with their English equivalents, together with An Appendix ., Second Ed., Revised and Enlarged . The Methodist Publishing House: Singapore (1912) by Shellabear, W.G. (William Girdlestone), 1862-1949
Indonesian	indo1316-lexi	indo1316	indo1316	hand	taŋan			lexirumah	klamerwuedwards17			Phonetic transcription of the Indonesian glosses used in the concept list, a mixture of standard Indonesian and terms better-known in NTT.
Bajo	489	indo1317	indo1317	five	lime		1	abvd	Nuraini-489-2007		Chandra Nuraini (field research)	"Alternative language names: Bajau; Sama.
Data collected in the Kangean archipelago (East Java, Indonesia)"
Bajo (Kolo Bawah)	619	indo1317	indo1317	five	lima		1	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajo (Padei Laut)	620	indo1317	indo1317	five	lima		1	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajo (Kayuadi)	621	indo1317	indo1317	five	lima		1	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajo (Pitulua)	622	indo1317	indo1317	five	lima		1	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajo (Bajoe)	623	indo1317	indo1317	five	limɨ		1	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajo (Lauru)	624	indo1317	indo1317	five	limǝ		1	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajo (Moramo)	625	indo1317	indo1317	five	lima		1	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajo (Boepinang)	626	indo1317	indo1317	five	limǝ		1	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajo (Lakaramba)	627	indo1317	indo1317	five	lima		1	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajo (Kaleroang)	628	indo1317	indo1317	five	lima		1	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajo (Lakonea)	629	indo1317	indo1317	five	lima		1	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajo (Langara Laut)	630	indo1317	indo1317	five	lima		1	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajo (Lapulu)	631	indo1317	indo1317	five	lima		1	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajo (Anaiwoi)	633	indo1317	indo1317	five	limǝ		1	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajo (Lemo Bajo)	634	indo1317	indo1317	five	lima		1	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajau	indo1317	indo1317	indo1317	five	ˈlima			lexirumah	anceaux16			
Bajo	indo1317-1	indo1317	indo1317	five	lima			barlowpacific	Stokhof1985Vol7.4	p.288		
Indonesia Bajau, Indonesia	indo1317-1	indo1317	indo1317	five	limə			chan2019	Bajau-Indonesian.htm		Dr. Philippe Grangé, Asia-Pacific Institute (IUAP), University of La Rochelle, La Rochelle, France, December 25, 2014.	Indonesia Bajau West has a decimal system similar to that of West Coast Bajau, with exception for the numbers 6 and 9, which might be loanwords from language in Sulawesi or Malay.
Bajo (Posiposi village)	indo1317-2	indo1317	indo1317	five	lima			barlowpacific	Teljeur1982	pp.145-146		
Sama Sulsel	indo1317-3	indo1317	indo1317	five	lima			barlowpacific	Arnaud1998	pp.863-879 [word list item numbers]		
Sama Sulut	indo1317-4	indo1317	indo1317	five	lima	(Togian dialect; dialect collected by Wallace)		barlowpacific	Arnaud1998	pp.863-877 [word list item numbers]		
Sama Sulut	indo1317-4	indo1317	indo1317	five	lime			barlowpacific	Arnaud1998	pp.863-877 [word list item numbers]		
Bajo	489	indo1317	indo1317	hand	tangan		18	abvd	Nuraini-489-2007		Chandra Nuraini (field research)	"Alternative language names: Bajau; Sama.
Data collected in the Kangean archipelago (East Java, Indonesia)"
Bajo (Kolo Bawah)	619	indo1317	indo1317	hand	taŋan		18	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajo (Padei Laut)	620	indo1317	indo1317	hand	taŋan		18	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajo (Kayuadi)	621	indo1317	indo1317	hand	taŋan		18	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajo (Pitulua)	622	indo1317	indo1317	hand	taŋaŋ		18	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajo (Bajoe)	623	indo1317	indo1317	hand	liŋŋaŋ		19	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajo (Lauru)	624	indo1317	indo1317	hand	taŋan		18	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajo (Moramo)	625	indo1317	indo1317	hand	taŋaŋ		18	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajo (Boepinang)	626	indo1317	indo1317	hand	taŋaŋ		18	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajo (Lakaramba)	627	indo1317	indo1317	hand	taŋaŋ		18	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajo (Kaleroang)	628	indo1317	indo1317	hand	taŋan		18	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajo (Lakonea)	629	indo1317	indo1317	hand	taŋan		18	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajo (Langara Laut)	630	indo1317	indo1317	hand	taŋan		18	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajo (Lapulu)	631	indo1317	indo1317	hand	taŋaŋ		18	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajo (Luwuk)	632	indo1317	indo1317	hand	taŋan		18	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajo (Anaiwoi)	633	indo1317	indo1317	hand	taŋaŋ		18	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajo (Lemo Bajo)	634	indo1317	indo1317	hand	taŋaŋ		18	abvd	75297		Summary of Bajau Lexicostatistics Project (through October 1989)	
Bajau	indo1317	indo1317	indo1317	hand	ˈtaŋan			lexirumah	anceaux16			
Inlaod Tinggian (Itneg)	inla1260-1	inla1260	inla1260	five	limɑ			barlowpacific	Walton2003Danglas	pp.3-7		
Inlaod, Itneg	inla1260-2	inla1260	inla1260	five	liˈmɑ			barlowpacific	Walton2003Dalayap	pp.3-7		
Aklanon, Philippines	inon1237-1	inon1237	inon1237	five	lima			chan2019	Aklanon.htm		Ms. Leilani Leano Mallorca, SIL International, Philippines. January 1, 2014.	Inonhan has a decimal system, like most Visayan languages, the Inonhan people also have Spanish influence and use Spanish numerals after ten now and . Note that there is no difference at times between /o/ and /u/ in pronunciation. We do not have the schwa sound [ə].
Aklanon, Philippines	inon1237-1	inon1237	inon1237	five	siŋko			chan2019	Aklanon.htm		Ms. Leilani Leano Mallorca, SIL International, Philippines. January 1, 2014.	Inonhan has a decimal system, like most Visayan languages, the Inonhan people also have Spanish influence and use Spanish numerals after ten now and . Note that there is no difference at times between /o/ and /u/ in pronunciation. We do not have the schwa sound [ə].
Inonhan, Philippines	inon1237-2	inon1237	inon1237	five	lima			chan2019	Inonhan.htm		Ms. Leilani Leano Mallorca, SIL International, Philippines. January 1, 2014.	Inonhan has a decimal system, like most Visayan languages, the Inonhan people also have Spanish influence and use Spanish numerals after ten now and . Note that there is no difference at times between /o/ and /u/ in pronunciation. We do not have the schwa sound [ə].
Inonhan, Philippines	inon1237-2	inon1237	inon1237	five	siŋko			chan2019	Inonhan.htm		Ms. Leilani Leano Mallorca, SIL International, Philippines. January 1, 2014.	Inonhan has a decimal system, like most Visayan languages, the Inonhan people also have Spanish influence and use Spanish numerals after ten now and . Note that there is no difference at times between /o/ and /u/ in pronunciation. We do not have the schwa sound [ə].
Bulalakawnon	1547	bula1256	inon1237	hand	alíma		1	abvd	Zorc2018		R David Zorc	
Bulalakawnon	1547	bula1256	inon1237	hand	limá		1,64	abvd	Zorc2018		R David Zorc	
Inonhan (Dispoholnon)	1548	disp1238	inon1237	hand	alíma		1	abvd	Zorc2018		Summer Institute of Linguistics (unknown authors). 1966. Inonhan (Dispoholnon) available via Zorc, R. David. 1972. Unpublished field notes.	
Inonhan (Dispoholnon)	1548	disp1238	inon1237	hand	limá		1,64	abvd	Zorc2018		Summer Institute of Linguistics (unknown authors). 1966. Inonhan (Dispoholnon) available via Zorc, R. David. 1972. Unpublished field notes.	
Inonhan (Dispoholnon)	1548	disp1238	inon1237	hand	limá		1,64	abvd	Zorc2018		Summer Institute of Linguistics (unknown authors). 1966. Inonhan (Dispoholnon) available via Zorc, R. David. 1972. Unpublished field notes.	
Iranun	458	iran1262	iran1262	five	lima		1	abvd	Shaiddin-458-2006		Sean Conklin and Mabulmaddin Haji Shaiddin	"From a native speaker

roots are separated from affixation by + for verbal root and ++ for nominal root
Recent comparisons done by Grimes (2002) ?  Show Iranun is ~ 85% cognate with Maranao
all vowel  e  are realized as schwa"
Iranun, Sabah, Malaysia	iran1262-1	iran1262	iran1262	five	lima			chan2019	Iranun.htm		Dr. Howard McKaughan, Dept. of Linguistics, University of Hawaii at Manoa, USA March 26, 2006.	Iranun has a decimal system.
Iranun	458	iran1262	iran1262	hand	lima	hand/arm	1,64	abvd	Shaiddin-458-2006		Sean Conklin and Mabulmaddin Haji Shaiddin	"From a native speaker

roots are separated from affixation by + for verbal root and ++ for nominal root
Recent comparisons done by Grimes (2002) ? Show Iranun is ~ 85% cognate with Maranao
all vowel e are realized as schwa"
Irarutu	1364	irar1238	irar1238	five	fradfid	< fra 'arm', a ligature -d-, and (re)fid 'side/five', which literally means 'hand-side' or 'hand-five'		abvd	g_Jackson_Irarutu		Jackson 2014	
Irarutu	irar1238	irar1238	irar1238	five	rɛɸidə			lexirumah	voorhoeve95			Schwa is analysable as epenthetic in all positions. Mid-low /ɛ/ /ɔ/ and mid-high /e/ /o/ are described as contrastive. “/b/, /d/, and /g/ are often prenasalised in word-initial position; word-medially and finally they are always prenasalised, with voiced and unvoiced stop allophones [b, ᵐb, ᵐp], [d, d̪, ⁿd, ⁿd̪, ⁿt, ⁿt̪], [g, ᵑg, ᵑk].” (Voorhoeve 1995
Irutu	irar1238-1	irar1238	irar1238	five	frádĕfidĕ			barlowpacific	Galis1955	p.135		
Irutu	irar1238-1	irar1238	irar1238	five	refidĕ			barlowpacific	Galis1955	p.135		
Irahutu, Papua, Indonesia	irar1238-1	irar1238	irar1238	five	fradfid			chan2019	Irahutu.htm		Mr. Takashi Matsumura. SIL International, April 30, 1993. January 27, 2009.	Irahuru has a quinary system of counting. Twenty is expressed by one man. However, the Irarutu people can count until ten maybe as of now, maybe the only one or older folks who can count until 100. Malay / Indonesian numbers have been used more often now.
Kasira	irar1238-2	irar1238	irar1238	five	fradfide			barlowpacific	Grace1955pdf50	pp.97-98		
Kasira	irar1238-2	irar1238	irar1238	five	refide			barlowpacific	Grace1955pdf50	pp.97-98		
kaˈsira (Babo)	irar1238-3	irar1238	irar1238	five	fradfide			barlowpacific	Grace1955pdf50	p.55 [of pdf]		
Kasira (Irahutu)	55	irar1238	irar1238	hand	fra-		16	abvd	GraceNB		Blust, from Grace	Fakfak area, Bomberai
Irarutu	1364	irar1238	irar1238	hand	fra	semantic shift < shoulder	16	abvd	g_Jackson_Irarutu		Jackson 2014	
Irarutu	1364	irar1238	irar1238	hand	fra	< fra 'arm', a ligature -d-, and (re)fid 'side/five', which literally means 'hand-side' or 'hand-five'		abvd	g_Jackson_Irarutu		Jackson 2014	
Irarutu	irar1238	irar1238	irar1238	hand	ɸəra			lexirumah	voorhoeve95			Schwa is analysable as epenthetic in all positions. Mid-low /ɛ/ /ɔ/ and mid-high /e/ /o/ are described as contrastive. “/b/, /d/, and /g/ are often prenasalised in word-initial position; word-medially and finally they are always prenasalised, with voiced and unvoiced stop allophones [b, ᵐb, ᵐp], [d, d̪, ⁿd, ⁿd̪, ⁿt, ⁿt̪], [g, ᵑg, ᵑk].” (Voorhoeve 1995
Iraya	1269	iray1237	iray1237	five	limá		1	abvd	311529		Barbian (1977)	Barbian, Karl-Josef. 1977. The Mangyan languages of Mindoro. Cebu City: University of San Carlos.
Iraya, Philippines	iray1237-1	iray1237	iray1237	five	li'ma			chan2019	Iraya.htm		Ms. Arlette Dombre, OMF (Overseas Missionary Fellowship), Mindoro Field, Philippines, January 27, 1995, November 6, 2009.	Iraya has a decimal system similar to that of Tagalog.
Iraya	1269	iray1237	iray1237	hand	arusán			abvd	311529		Barbian (1977)	Barbian, Karl-Josef. 1977. The Mangyan languages of Mindoro. Cebu City: University of San Carlos.
Iraya	1269	iray1237	iray1237	hand	dalukáp		3,44	abvd	311529		Barbian (1977)	Barbian, Karl-Josef. 1977. The Mangyan languages of Mindoro. Cebu City: University of San Carlos.
Humuku – Irege, Irisami tribe, south Cinderawasih Bay (Irian Jay)	ires1239-1	ires1239	ires1239	five	rima			barlowpacific	Stokhof1987Vol11	p.250		
Yeresiam, Papua, Indonesia	ires1239-1	ires1239	ires1239	five	ríìma			chan2019	Iresim-Yeresiam.htm		Mr. David Kamholz. PhD student, Dept. of Linguistics, University of California at Berkeley, USA. April 20, 2012.	Yeresiam or Iresim Moor has a quinary, vigesimal system of counting. Ten can expressed by another way '' ríìma iŋkana ríìma, '5+ 5 '; twenty is expressed by the phase ''hàŋkú kúukarà kéete'' which means literally ''one whole person''. Yeresiam is one of the few tonal Austronesian languages in Papua area, Indonesia. Please note the differences between IPA and orthographic spellings. 1. <v> = IPA [β] 2. <ng > = IPA [ŋ] 3. < gw > = IPA [gʷ].
Irésim	ires1239-2	ires1239	ires1239	five	rima			barlowpacific	Galis1955	p.141		
Irsam	ires1239-3	ires1239	ires1239	five	lima			barlowpacific	Stokhof1983Vol5.2	p.192		
Bikol (Rinconada)	722	irig1242	irig1242	five	limá		1	abvd	lobel2001a		Lobel & Bucad	Lobel, Jason William and Grace Uvero Bucad. Rinconada Bikol-Filipino-English Phrasebook: with Mini-Dictionary. Naga City, Philippines: Lobel & Tria Partnership, 2001.
Iriga Bicol	irig1242-1	irig1242	irig1242	five	lima			barlowpacific	Anonymous1984Bicol	pp.2-5		
Rinconada Bikol, Philippines	irig1242-1	irig1242	irig1242	five	li'ma			chan2019	Rinconada-Bikol.htm		Ms. Emy Ballenas (TAP) Translation Association of Philippines, June 19, 2006.	Rinconada Bikol or Iriga Bikol numbers beyond ten have been replaced by Spanish numbers.
Bikol (Rinconada)	722	irig1242	irig1242	hand	kamót		21,68	abvd	lobel2001a		Lobel & Bucad	Lobel, Jason William and Grace Uvero Bucad. Rinconada Bikol-Filipino-English Phrasebook: with Mini-Dictionary. Naga City, Philippines: Lobel & Tria Partnership, 2001.
Isinay (Dupax)	1463	isin1239	isin1239	five	limá	li.'ma?	1	abvd	perlawan2015a		Sarah Eve Perlawan	"Perlawan, Sarah Eve. 2015. Grammatical Sketch of Isinay Dupax. m.s. University of the Philippines, Diliman.

Standard Isinay as spoken in Dupax del Sur municipality, Nueva Vizcaya province, Philippines"
Isinay, Philippines	isin1239-1	isin1239	isin1239	five	'lima			chan2019	Isinay.htm		Mr. R'deen Philipps, SIL International, Philippines. March 18, 1998.	Isinay has a decimal system. Updated data needed.
Isinay (Dupax)	1463	isin1239	isin1239	hand	lima	'li?.ma	1,64	abvd	perlawan2015a		Sarah Eve Perlawan	"Perlawan, Sarah Eve. 2015. Grammatical Sketch of Isinay Dupax. m.s. University of the Philippines, Diliman.

Standard Isinay as spoken in Dupax del Sur municipality, Nueva Vizcaya province, Philippines"
Isneg, Dibagat-Kabugao-Isneg	424	isna1241	isna1241	five	limma		1	abvd	136553		G.R. Roe in Reid (1971)	Reid, L.A. (1971). Philippine Minor Languages: Word Lists and Phonologies. Oceanic Linguistics Special Publication no. 8. University of Hawaii Press.
Isneg	isna1241-1	isna1241	isna1241	five	limmá			barlowpacific	Vanoverbergh1937	pp.113, 119		
Isnag, Philippines	isna1241-1	isna1241	isna1241	five	lim'ma			chan2019	Isnag.htm		Dr. Rodolfo R. Barlaan. SIL International, Philippines. September, 1993. September 25, 2009.	Isnag has a decimal system.
Isneg, Dibagat-Kabugao-Isneg	424	isna1241	isna1241	hand	ʔi:ma		1,65	abvd	136553		G.R. Roe in Reid (1971)	Reid, L.A. (1971). Philippine Minor Languages: Word Lists and Phonologies. Oceanic Linguistics Special Publication no. 8. University of Hawaii Press.
Itawis	678	itaw1240	itaw1240	five	limá		1	abvd	151187		Tharp & Natividad (1976)	"ISO 639-3: itv Spoken in Cagayan Valley, Luzon.

Tharp, James A. and Mateo C. Natividad. Itawis-English wordlist with English-Itawis finderlist New Haven, CT: Human Relations Area Files, 1976."
Itawis	978	itaw1240	itaw1240	five	lima		1	abvd	Barrias-978-2013		Norman Barrias	i observed a change in the use if h to z (ex himigi, hiwanan and hirian, which in Iguig (town ) are pronounced as zimigi, ziwanan and zirrian respectively.
Malaweg	1278	itaw1240	itaw1240	five	lima		1	abvd	136553		Laurie Reid	
Itawit, Luzon, Philippines	itaw1240-1	itaw1240	itaw1240	five	lima			chan2019	Itawit.htm		Mr. Charles Richards, SIL International, Philippines. September, 1993.	Itawit has a decimal system similar to that of Isnag.
Itawis	678	itaw1240	itaw1240	hand	íma		1,65	abvd	151187		Tharp & Natividad (1976)	"ISO 639-3: itv Spoken in Cagayan Valley, Luzon.

Tharp, James A. and Mateo C. Natividad. Itawis-English wordlist with English-Itawis finderlist New Haven, CT: Human Relations Area Files, 1976."
Itawis	978	itaw1240	itaw1240	hand	ima		1,65	abvd	Barrias-978-2013		Norman Barrias	i observed a change in the use if h to z (ex himigi, hiwanan and hirian, which in Iguig (town ) are pronounced as zimigi, ziwanan and zirrian respectively.
Malaweg	1278	itaw1240	itaw1240	hand	íma		1,65	abvd	136553		Laurie Reid	
Iraralay	248	ivat1242	ivat1242	five	alima		1,20	abvd	46500		Tsuchida et al. (1987)	Tsuchida, S., Yamada, Y., & Moriguchi, T. (1987). Lists of Selected Words of Batanic Languages. Department of Linguistics, Faculty of Letters, University of Tokyo
Iraralay	248	ivat1242	ivat1242	five	lalima		1,19	abvd	46500		Tsuchida et al. (1987)	Tsuchida, S., Yamada, Y., & Moriguchi, T. (1987). Lists of Selected Words of Batanic Languages. Department of Linguistics, Faculty of Letters, University of Tokyo
Iraralay	248	ivat1242	ivat1242	five	lima		1	abvd	46500		Tsuchida et al. (1987)	Tsuchida, S., Yamada, Y., & Moriguchi, T. (1987). Lists of Selected Words of Batanic Languages. Department of Linguistics, Faculty of Letters, University of Tokyo
Itbayat	249	ivat1242	ivat1242	five	lima		1	abvd	46500		Tsuchida et al. (1987)	Tsuchida, S., Yamada, Y., & Moriguchi, T. (1987). Lists of Selected Words of Batanic Languages. Department of Linguistics, Faculty of Letters, University of Tokyo
Imorod	250	ivat1242	ivat1242	five	alima		1,20	abvd	46500		Tsuchida et al. (1987)	Tsuchida, S., Yamada, Y., & Moriguchi, T. (1987). Lists of Selected Words of Batanic Languages. Department of Linguistics, Faculty of Letters, University of Tokyo
Imorod	250	ivat1242	ivat1242	five	lalima		1,19	abvd	46500		Tsuchida et al. (1987)	Tsuchida, S., Yamada, Y., & Moriguchi, T. (1987). Lists of Selected Words of Batanic Languages. Department of Linguistics, Faculty of Letters, University of Tokyo
Imorod	250	ivat1242	ivat1242	five	lima		1	abvd	46500		Tsuchida et al. (1987)	Tsuchida, S., Yamada, Y., & Moriguchi, T. (1987). Lists of Selected Words of Batanic Languages. Department of Linguistics, Faculty of Letters, University of Tokyo
Ivasay	251	ivat1242	ivat1242	five	dima		1	abvd	46500		Tsuchida et al. (1987)	Tsuchida, S., Yamada, Y., & Moriguchi, T. (1987). Lists of Selected Words of Batanic Languages. Department of Linguistics, Faculty of Letters, University of Tokyo
